Psgc	Region	Province	Town	Barangay
63018007	REGION VI (WESTERN VISAYAS)	ILOILO	DUMANGAS	BANTUD FABRICA
63018008	REGION VI (WESTERN VISAYAS)	ILOILO	DUMANGAS	BARAS
63018009	REGION VI (WESTERN VISAYAS)	ILOILO	DUMANGAS	BARASAN
63018010	REGION VI (WESTERN VISAYAS)	ILOILO	DUMANGAS	BOLILAO
63018013	REGION VI (WESTERN VISAYAS)	ILOILO	DUMANGAS	CALI
63018014	REGION VI (WESTERN VISAYAS)	ILOILO	DUMANGAS	CANSILAYAN
63018015	REGION VI (WESTERN VISAYAS)	ILOILO	DUMANGAS	CAPALIZ
63018016	REGION VI (WESTERN VISAYAS)	ILOILO	DUMANGAS	CAYOS
63018017	REGION VI (WESTERN VISAYAS)	ILOILO	DUMANGAS	COMPAYAN
63018018	REGION VI (WESTERN VISAYAS)	ILOILO	DUMANGAS	DACUTAN
63018019	REGION VI (WESTERN VISAYAS)	ILOILO	DUMANGAS	ERMITA
63018026	REGION VI (WESTERN VISAYAS)	ILOILO	DUMANGAS	LACTURAN
63018030	REGION VI (WESTERN VISAYAS)	ILOILO	DUMANGAS	MAQUINA
63018031	REGION VI (WESTERN VISAYAS)	ILOILO	DUMANGAS	NANDING LOPEZ
63018032	REGION VI (WESTERN VISAYAS)	ILOILO	DUMANGAS	PAGDUGUE
63018033	REGION VI (WESTERN VISAYAS)	ILOILO	DUMANGAS	PALOC BIGQUE
63018034	REGION VI (WESTERN VISAYAS)	ILOILO	DUMANGAS	PALOC SOOL
63018035	REGION VI (WESTERN VISAYAS)	ILOILO	DUMANGAS	PATLAD
63018036	REGION VI (WESTERN VISAYAS)	ILOILO	DUMANGAS	PULAO
63018037	REGION VI (WESTERN VISAYAS)	ILOILO	DUMANGAS	ROSARIO
63018038	REGION VI (WESTERN VISAYAS)	ILOILO	DUMANGAS	SAPAO
63018039	REGION VI (WESTERN VISAYAS)	ILOILO	DUMANGAS	SULANGAN
63018041	REGION VI (WESTERN VISAYAS)	ILOILO	DUMANGAS	TALUSAN
63045001	REGION VI (WESTERN VISAYAS)	ILOILO	TIGBAUAN	ALUPIDIAN
63045002	REGION VI (WESTERN VISAYAS)	ILOILO	TIGBAUAN	ATABAYAN
63045003	REGION VI (WESTERN VISAYAS)	ILOILO	TIGBAUAN	BAGACAY
63045006	REGION VI (WESTERN VISAYAS)	ILOILO	TIGBAUAN	BANGKAL
63045007	REGION VI (WESTERN VISAYAS)	ILOILO	TIGBAUAN	BANTUD
63045017	REGION VI (WESTERN VISAYAS)	ILOILO	TIGBAUAN	BAROSONG
63045018	REGION VI (WESTERN VISAYAS)	ILOILO	TIGBAUAN	BARROC
63045019	REGION VI (WESTERN VISAYAS)	ILOILO	TIGBAUAN	BAYUCO
63045020	REGION VI (WESTERN VISAYAS)	ILOILO	TIGBAUAN	BINALIUAN MAYOR
63045021	REGION VI (WESTERN VISAYAS)	ILOILO	TIGBAUAN	BINALIUAN MENOR
63045023	REGION VI (WESTERN VISAYAS)	ILOILO	TIGBAUAN	BUENAVISTA
63045024	REGION VI (WESTERN VISAYAS)	ILOILO	TIGBAUAN	BUGASONGAN
63045026	REGION VI (WESTERN VISAYAS)	ILOILO	TIGBAUAN	CANABUAN
63045027	REGION VI (WESTERN VISAYAS)	ILOILO	TIGBAUAN	CANSILAYAN
63045028	REGION VI (WESTERN VISAYAS)	ILOILO	TIGBAUAN	CORDOVA NORTE
63045029	REGION VI (WESTERN VISAYAS)	ILOILO	TIGBAUAN	CORDOVA SUR
63045030	REGION VI (WESTERN VISAYAS)	ILOILO	TIGBAUAN	DANAO
63045031	REGION VI (WESTERN VISAYAS)	ILOILO	TIGBAUAN	DAPDAP
63045033	REGION VI (WESTERN VISAYAS)	ILOILO	TIGBAUAN	GUISIAN
63045034	REGION VI (WESTERN VISAYAS)	ILOILO	TIGBAUAN	ISAWAN
63045035	REGION VI (WESTERN VISAYAS)	ILOILO	TIGBAUAN	ISIAN
63045036	REGION VI (WESTERN VISAYAS)	ILOILO	TIGBAUAN	JAMOG
63045037	REGION VI (WESTERN VISAYAS)	ILOILO	TIGBAUAN	LANAG
63045038	REGION VI (WESTERN VISAYAS)	ILOILO	TIGBAUAN	LINOBAYAN
63045039	REGION VI (WESTERN VISAYAS)	ILOILO	TIGBAUAN	LUBOG
63045040	REGION VI (WESTERN VISAYAS)	ILOILO	TIGBAUAN	NAGBA
63045042	REGION VI (WESTERN VISAYAS)	ILOILO	TIGBAUAN	NAPNAPAN NORTE
63045043	REGION VI (WESTERN VISAYAS)	ILOILO	TIGBAUAN	NAPNAPAN SUR
63045044	REGION VI (WESTERN VISAYAS)	ILOILO	TIGBAUAN	OLO BARROC
63045047	REGION VI (WESTERN VISAYAS)	ILOILO	TIGBAUAN	SAN RAFAEL
63045048	REGION VI (WESTERN VISAYAS)	ILOILO	TIGBAUAN	SERMON
63045049	REGION VI (WESTERN VISAYAS)	ILOILO	TIGBAUAN	SIPITAN
63045050	REGION VI (WESTERN VISAYAS)	ILOILO	TIGBAUAN	SUPA
63045052	REGION VI (WESTERN VISAYAS)	ILOILO	TIGBAUAN	TARO
63046001	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	ADGAO
63046002	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	AGO
63046003	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	AMBARIHON
63046004	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	AYUBO
63046005	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	BACAN
63046006	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	BAGUNANAY
63046007	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	BADIANG
63046008	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	BALICUA
63046009	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	BANTAYANAN
63046010	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	ZONE I (POB.)
63046011	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	ZONE II (POB.)
63046012	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	ZONE III (POB.)
63046013	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	BATGA
63046014	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	BATO
63046015	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	BIKIL
63046016	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	BOLOC
63046017	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	BONDOC
63046018	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	BORONG
63046019	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	BUENAVISTA
63046020	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	CADABDAB
63046021	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	DAGA-AY
63046022	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	DESPOSORIO
63046023	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	IGDAMPOG NORTE
63046024	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	IGDAMPOG SUR
63046025	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	IGPAHO
63046026	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	IGTUBLE
63046027	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	INGAY
63046028	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	ISAUAN
63046029	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	JOLASON
63046030	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	JONA
63046031	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	LA-AG
63046032	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	LANAG NORTE
63046033	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	LANAG SUR
63046034	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	MALE
63046035	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	MAYANG
63046036	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	MOLINA
63046037	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	MORCILLAS
63046038	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	NAGBA
63046039	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	NAVILLAN
63046040	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	PINAMACALAN
63046041	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	SAN JOSE
63046042	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	SIBUCAUAN
63046043	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	SINGON
63046044	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	TABAT
63046045	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	TAGPU-AN
63046046	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	TALENTO
63046047	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	TENIENTE BENITO
63046048	REGION VI (WESTERN VISAYAS)	ILOILO	TUBUNGAN	VICTORIA
63047001	REGION VI (WESTERN VISAYAS)	ILOILO	ZARRAGA	BALUD LILO-AN
63047002	REGION VI (WESTERN VISAYAS)	ILOILO	ZARRAGA	BALUD I
63047003	REGION VI (WESTERN VISAYAS)	ILOILO	ZARRAGA	BALUD II
63047004	REGION VI (WESTERN VISAYAS)	ILOILO	ZARRAGA	DAWIS CENTRO
63047005	REGION VI (WESTERN VISAYAS)	ILOILO	ZARRAGA	DAWIS NORTE
63047006	REGION VI (WESTERN VISAYAS)	ILOILO	ZARRAGA	DAWIS SUR
63047008	REGION VI (WESTERN VISAYAS)	ILOILO	ZARRAGA	INAGDANGAN CENTRO
63047009	REGION VI (WESTERN VISAYAS)	ILOILO	ZARRAGA	INAGDANGAN NORTE
63047010	REGION VI (WESTERN VISAYAS)	ILOILO	ZARRAGA	INAGDANGAN SUR
63047011	REGION VI (WESTERN VISAYAS)	ILOILO	ZARRAGA	JALAUD NORTE
63047012	REGION VI (WESTERN VISAYAS)	ILOILO	ZARRAGA	JALAUD SUR
63047013	REGION VI (WESTERN VISAYAS)	ILOILO	ZARRAGA	LIBONGCOGON
63047015	REGION VI (WESTERN VISAYAS)	ILOILO	ZARRAGA	PAJO
63047019	REGION VI (WESTERN VISAYAS)	ILOILO	ZARRAGA	SIGANGAO
63047020	REGION VI (WESTERN VISAYAS)	ILOILO	ZARRAGA	TALAUGUIS
63047021	REGION VI (WESTERN VISAYAS)	ILOILO	ZARRAGA	TALIBONG
63047022	REGION VI (WESTERN VISAYAS)	ILOILO	ZARRAGA	TUBIGAN
63047023	REGION VI (WESTERN VISAYAS)	ILOILO	ZARRAGA	TUBURAN
63047024	REGION VI (WESTERN VISAYAS)	ILOILO	ZARRAGA	TUBURAN SULBOD
63018043	REGION VI (WESTERN VISAYAS)	ILOILO	DUMANGAS	TAMBOILAN
63018044	REGION VI (WESTERN VISAYAS)	ILOILO	DUMANGAS	VICTORIAS
63018046	REGION VI (WESTERN VISAYAS)	ILOILO	DUMANGAS	AURORA-DEL PILAR (POB.)
63018048	REGION VI (WESTERN VISAYAS)	ILOILO	DUMANGAS	LOPEZ JAENA - RIZAL (POB.)
63019001	REGION VI (WESTERN VISAYAS)	ILOILO	ESTANCIA	LUMBIA (ANA CUENCA)
63019002	REGION VI (WESTERN VISAYAS)	ILOILO	ESTANCIA	BAYAS (BAYAS ISLAND)
63019003	REGION VI (WESTERN VISAYAS)	ILOILO	ESTANCIA	BAYUYAN
63019004	REGION VI (WESTERN VISAYAS)	ILOILO	ESTANCIA	BOTONGAN
63019005	REGION VI (WESTERN VISAYAS)	ILOILO	ESTANCIA	BULAQUENA
63019006	REGION VI (WESTERN VISAYAS)	ILOILO	ESTANCIA	CALAPDAN
63019007	REGION VI (WESTERN VISAYAS)	ILOILO	ESTANCIA	CANO-AN
63019008	REGION VI (WESTERN VISAYAS)	ILOILO	ESTANCIA	DAAN BANUA
63019009	REGION VI (WESTERN VISAYAS)	ILOILO	ESTANCIA	DACULAN
63019010	REGION VI (WESTERN VISAYAS)	ILOILO	ESTANCIA	GOGO
63019011	REGION VI (WESTERN VISAYAS)	ILOILO	ESTANCIA	JOLOG
63019012	REGION VI (WESTERN VISAYAS)	ILOILO	ESTANCIA	LOGUINGOT (LOGUINGOT ISLAND)
63019013	REGION VI (WESTERN VISAYAS)	ILOILO	ESTANCIA	MALBOG
63019014	REGION VI (WESTERN VISAYAS)	ILOILO	ESTANCIA	MANIPULON
63019015	REGION VI (WESTERN VISAYAS)	ILOILO	ESTANCIA	PA-ON
63019016	REGION VI (WESTERN VISAYAS)	ILOILO	ESTANCIA	PANI-AN
63019017	REGION VI (WESTERN VISAYAS)	ILOILO	ESTANCIA	POBLACION ZONE 1
63019018	REGION VI (WESTERN VISAYAS)	ILOILO	ESTANCIA	LONOY (ROMAN MOSQUEDA)
63019019	REGION VI (WESTERN VISAYAS)	ILOILO	ESTANCIA	SAN ROQUE
63019020	REGION VI (WESTERN VISAYAS)	ILOILO	ESTANCIA	SANTA ANA
63019021	REGION VI (WESTERN VISAYAS)	ILOILO	ESTANCIA	TABU-AN
63019022	REGION VI (WESTERN VISAYAS)	ILOILO	ESTANCIA	TACBUYAN
63019023	REGION VI (WESTERN VISAYAS)	ILOILO	ESTANCIA	TANZA
63019024	REGION VI (WESTERN VISAYAS)	ILOILO	ESTANCIA	POBLACION ZONE II
63019025	REGION VI (WESTERN VISAYAS)	ILOILO	ESTANCIA	POBLACION ZONE III
63041020	REGION VI (WESTERN VISAYAS)	ILOILO	SAN MIGUEL	SAN JOSE
63042010	REGION VI (WESTERN VISAYAS)	ILOILO	SAN RAFAEL	POBLACION
63044001	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	AGUIRRE
63044002	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	ALDEGUER
63044003	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	ALIBAYOG
63044004	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	ANORING
63044005	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	APELO
63044006	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	APOLOGISTA
63044007	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	APOSAGA
63044008	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	ARANTE
63044009	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	ARDEMIL
63044010	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	ASPERA
63044011	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	ASWE-PABRIAGA
63044012	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	BAGAYGAY
63044013	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	BAKABAK
63044014	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	BATITAO
63044015	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	BATO
63044016	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	DEL CASTILLO
63044017	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	CASTOR
63044018	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	CRESPO
63044020	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	DEVERA
63044021	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	DOMINGO
63044022	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	FERRARIS
63044023	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	GILDORE
63044024	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	IMPROGO
63044025	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	JUANEZA
63044026	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	LABIGAN
63044027	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	LANCIOLA
63044028	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	LATAWAN
63044029	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	MALAPAYA
63044030	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	MUYCO
63044031	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	PADIOS
63044032	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	PASIG
63044033	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	POBLACION ILAWOD
63044034	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	POBLACION ILAYA
63044035	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	POBLACION MARKET
63044036	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	POSADAS
63044037	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	PRECIOSA
63044038	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	SALCEDO
63044039	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	SAN LUIS
63044040	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	TADY
63044041	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	TENTAY
63044042	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	VILLAHERMOSA
63044043	REGION VI (WESTERN VISAYAS)	ILOILO	SARA	ZERRUDO
64503001	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	BINALBAGAN	AMONTAY
64503002	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	BINALBAGAN	BAGROY
64503003	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	BINALBAGAN	BI-AO
64503004	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	BINALBAGAN	CANMOROS (POB.)
64503006	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	BINALBAGAN	MARINA (POB.)
64503008	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	BINALBAGAN	PAYAO
64503011	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	BINALBAGAN	SAN JUAN (POB.)
64503016	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	BINALBAGAN	SANTOL
64501011	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	BACOLOD CITY	BARANGAY 16 (POB.)
64505001	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CALATRAVA	AGPANGI
64505002	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CALATRAVA	ANI-E
64505003	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CALATRAVA	BAGACAY
64505005	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CALATRAVA	BUENAVISTA
64505006	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CALATRAVA	CABUNGAHAN
64505008	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CALATRAVA	CAMBAYOBO
64505009	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CALATRAVA	CASTELLANO
64505010	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CALATRAVA	CRUZ
64505011	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CALATRAVA	DOLIS
64505012	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CALATRAVA	HILUB-ANG
64505013	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CALATRAVA	HINAB-ONGAN
64505014	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CALATRAVA	ILAYA
64505015	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CALATRAVA	LAGA-AN
64505016	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CALATRAVA	LALONG
64505017	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CALATRAVA	LEMERY
64505018	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CALATRAVA	LIPAT-ON
64505020	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CALATRAVA	MA-ASLOB
64505021	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CALATRAVA	MACASILAO
64505022	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CALATRAVA	MALANOG
64505023	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CALATRAVA	MALATAS
64505024	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CALATRAVA	MARCELO
64505025	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CALATRAVA	MINA-UTOK
64505026	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CALATRAVA	MENCHACA
64505027	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CALATRAVA	MINAPASUK
64505028	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CALATRAVA	MAHILUM
64505029	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CALATRAVA	PAGHUMAYAN
64505030	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CALATRAVA	PANTAO
64505032	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CALATRAVA	PINOCUTAN
64505035	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CALATRAVA	SAN BENITO
64505038	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CALATRAVA	TELIM
64505039	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CALATRAVA	TIGBAO
64505040	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CALATRAVA	TIGBON
64505041	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CALATRAVA	WINASWASAN
64506001	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CANDONI	AGBOY
64506002	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CANDONI	BANGA
64506003	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CANDONI	CABIA-AN
64506004	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CANDONI	CANINGAY
64506005	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CANDONI	GATUSLAO
64506006	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CANDONI	HABA
64506007	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CANDONI	PAYAUAN
64506008	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CANDONI	POBLACION EAST
64506009	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CANDONI	POBLACION WEST
64507001	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CAUAYAN	ABACA
64507002	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CAUAYAN	BACLAO
64507004	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CAUAYAN	POBLACION
64507007	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CAUAYAN	BASAK
64507008	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CAUAYAN	BULATA
64507009	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CAUAYAN	CALILING
64507010	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CAUAYAN	CAMALANDA-AN
64507012	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CAUAYAN	CAMINDANGAN
64507013	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CAUAYAN	ELIHAN
64507014	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CAUAYAN	GUILJUNGAN
64507015	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CAUAYAN	INAYAWAN
64507016	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CAUAYAN	ISIO
64507017	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CAUAYAN	LINAON
64507018	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CAUAYAN	LUMBIA
64507020	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CAUAYAN	MAMBUGSAY
64507021	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CAUAYAN	MAN-ULING
64507022	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CAUAYAN	MASALING
64507023	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CAUAYAN	MOLOBOLO
64507025	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CAUAYAN	SURA
64507027	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CAUAYAN	TALACDAN
64507028	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CAUAYAN	TAMBAD
64507029	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CAUAYAN	TILING
64507030	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CAUAYAN	TOMINA
64507031	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CAUAYAN	TUYOM
64507032	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	CAUAYAN	YAO-YAO
64508001	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	ENRIQUE B. MAGALONA (SARAVIA)	ALACAYGAN
64508002	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	ENRIQUE B. MAGALONA (SARAVIA)	ALICANTE
64508003	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	ENRIQUE B. MAGALONA (SARAVIA)	POBLACION I (BARANGAY 1)
64508004	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	ENRIQUE B. MAGALONA (SARAVIA)	POBLACION II (BARANGAY 2)
64508005	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	ENRIQUE B. MAGALONA (SARAVIA)	POBLACION III (BARANGAY 3)
64508006	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	ENRIQUE B. MAGALONA (SARAVIA)	BATEA
64508007	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	ENRIQUE B. MAGALONA (SARAVIA)	CONSING
64508008	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	ENRIQUE B. MAGALONA (SARAVIA)	CUDANGDANG
64508009	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	ENRIQUE B. MAGALONA (SARAVIA)	DAMGO
64508010	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	ENRIQUE B. MAGALONA (SARAVIA)	GAHIT
64508011	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	ENRIQUE B. MAGALONA (SARAVIA)	CANLUSONG
64508012	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	ENRIQUE B. MAGALONA (SARAVIA)	LATASAN
64508013	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	ENRIQUE B. MAGALONA (SARAVIA)	MADALAG
64508014	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	ENRIQUE B. MAGALONA (SARAVIA)	MANTA-ANGAN
64508015	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	ENRIQUE B. MAGALONA (SARAVIA)	NANCA
64508016	REGION VI (WESTERN VISAYAS)	NEGROS OCCIDENTAL	ENRIQUE B. MAGALONA (SARAVIA)	PASIL
